,LSTM,BiLSTM,RNN,GRU,PROPOSED
MSE,364.8890686035156,2.195859909057617,362.1949157714844,364.9394226074219,350.9905700683594
MAE,15.45899486541748,1.1312789916992188,15.461633682250977,15.452831268310547,15.523189544677734
RMSE,19.10207176208496,1.4818434715270996,19.031421661376953,19.103391647338867,18.73473358154297
